ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13201836,JG413728,09/06/2023 01:58:00 PM,011XX E 82ND PL,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,false,true,0411,004,8,45,04B,1185301,1850520,2023,09/14/2023 03:43:09 PM,41.744973301,-87.596602719,"(41.744973301, -87.596602719)"
13202130,JG414193,09/06/2023 08:10:00 PM,107XX S CALHOUN AVE,0460,BATTERY,SIMPLE,STREET,false,false,0434,004,10,51,08B,1194895,1834264,2023,09/14/2023 03:43:09 PM,41.700134558,-87.561983199,"(41.700134558, -87.561983199)"
13202081,JG414117,09/06/2023 06:07:00 PM,020XX N ALBANY AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,false,false,1414,014,1,22,06,1155193,1913452,2023,09/14/2023 03:43:09 PM,41.918320935,-87.705237426,"(41.918320935, -87.705237426)"
13201899,JG413889,09/06/2023 01:30:00 PM,092XX S COMMERCIAL AVE,0330,ROBBERY,AGGRAVATED,BANK,false,false,0423,004,10,46,03,1197746,1844398,2023,09/14/2023 03:43:09 PM,41.727872617,-87.551207132,"(41.727872617, -87.551207132)"
13202502,JG414506,09/06/2023 10:30:00 PM,001XX W 73RD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0731,007,6,69,07,1176816,1856592,2023,09/14/2023 03:43:09 PM,41.761830729,-87.627510276,"(41.761830729, -87.627510276)"
13201121,JG412979,09/06/2023 01:50:00 AM,051XX S WENTWORTH AVE,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,POLICE FACILITY / VEHICLE PARKING LOT,false,false,0225,002,20,37,26,1175826,1871120,2023,09/14/2023 03:43:09 PM,41.80171934,-87.630703621,"(41.80171934, -87.630703621)"
13201931,JG414079,09/06/2023 06:45:00 PM,0000X E ROOSEVELT RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA PLATFORM,false,false,0123,001,4,32,11,1176818,1895074,2023,09/14/2023 03:43:09 PM,41.867428687,-87.626342565,"(41.867428687, -87.626342565)"
13201362,JG413215,09/06/2023 08:45:00 AM,027XX N CICERO AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,AUTO / BOAT / RV DEALERSHIP,false,false,2521,025,31,19,08A,1143927,1917601,2023,09/14/2023 03:43:09 PM,41.929925166,-87.746525605,"(41.929925166, -87.746525605)"
13202258,JG413851,09/06/2023 03:30:00 PM,008XX W 115TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0524,005,21,53,06,1172876,1828589,2023,09/14/2023 03:43:09 PM,41.685074357,-87.642774065,"(41.685074357, -87.642774065)"
13201586,JG413442,09/06/2023 11:45:00 AM,006XX W 71ST ST,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,false,true,0732,007,6,68,08B,1173056,1857809,2023,09/14/2023 03:43:09 PM,41.765254159,-87.641255151,"(41.765254159, -87.641255151)"
13202867,JG414148,09/06/2023 06:15:00 PM,008XX S WABASH AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,COLLEGE / UNIVERSITY - RESIDENCE HALL,false,true,0123,001,4,32,02,1176920,1896499,2023,09/14/2023 03:43:09 PM,41.871336669,-87.625925,"(41.871336669, -87.625925)"
13202429,JG414485,09/06/2023 10:00:00 PM,050XX N MAJOR AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1622,016,45,11,06,1137176,1933270,2023,09/14/2023 03:43:09 PM,41.973046564,-87.7709563,"(41.973046564, -87.7709563)"
13201993,JG414080,09/06/2023 07:00:00 PM,034XX W SCHRAEDER DR,2024,NARCOTICS,POSSESS - HEROIN (WHITE),PARK PROPERTY,true,false,1123,011,28,27,18,1153404,1900665,2023,09/14/2023 03:43:09 PM,41.883267969,-87.712150552,"(41.883267969, -87.712150552)"
13202937,JG414638,09/06/2023 06:00:00 PM,048XX S LAKE PARK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0222,002,4,39,14,1186909,1873187,2023,09/14/2023 03:43:09 PM,41.807135535,-87.589992936,"(41.807135535, -87.589992936)"
13208285,JG421296,09/06/2023 02:30:00 AM,071XX S HAMLIN AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,VEHICLE NON-COMMERCIAL,false,false,0833,008,23,65,07,1152269,1856960,2023,09/14/2023 03:43:09 PM,41.763358065,-87.717468752,"(41.763358065, -87.717468752)"
13203085,JG415325,09/06/2023 07:45:00 PM,048XX S LAKE PARK AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0222,002,4,39,06,1186953,1873098,2023,09/14/2023 03:43:09 PM,41.806890268,-87.589834384,"(41.806890268, -87.589834384)"
13201480,JG413264,09/06/2023 08:46:00 AM,024XX N HARDING AVE,0460,BATTERY,SIMPLE,APARTMENT,true,false,2524,025,35,22,08B,1149639,1915981,2023,09/14/2023 03:43:09 PM,41.92537055,-87.725577509,"(41.92537055, -87.725577509)"
13201813,JG413894,09/06/2023 11:25:00 AM,055XX N WASHTENAW AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - PORCH / HALLWAY,false,false,2011,020,40,4,26,1157339,1936894,2023,09/14/2023 03:43:09 PM,41.982603849,-87.696713091,"(41.982603849, -87.696713091)"
13202261,JG414331,09/07/2023 12:00:00 AM,079XX S ESSEX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0422,004,7,46,08B,1194232,1852910,2023,09/14/2023 03:43:09 PM,41.751317167,-87.563800456,"(41.751317167, -87.563800456)"
13201876,JG413978,09/06/2023 01:24:00 PM,010XX W NORTH AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,false,false,1811,018,32,7,08A,1169007,1910823,2023,09/14/2023 03:43:09 PM,41.91081797,-87.654560398,"(41.91081797, -87.654560398)"
13202232,JG414281,09/06/2023 10:50:00 PM,035XX W BRYN MAWR AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,1711,017,39,13,03,1151848,1936985,2023,09/14/2023 03:43:09 PM,41.982963773,-87.716905397,"(41.982963773, -87.716905397)"
13202985,JG415105,09/06/2023 09:30:00 PM,034XX W ARMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1422,014,26,22,14,1153231,1913079,2023,09/14/2023 03:43:09 PM,41.917336596,-87.712455913,"(41.917336596, -87.712455913)"
13201515,JG413323,09/06/2023 10:10:00 AM,080XX S EUCLID AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0414,004,8,46,08B,1190594,1852115,2023,09/14/2023 03:43:09 PM,41.749224132,-87.577157314,"(41.749224132, -87.577157314)"
13202180,JG414236,09/06/2023 09:29:00 PM,051XX S WINCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0932,009,16,61,08B,1164221,1870683,2023,09/14/2023 03:43:09 PM,41.800772595,-87.673275953,"(41.800772595, -87.673275953)"
13208012,JG421000,08/17/2023 12:00:00 PM,019XX S LEAVITT ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1234,012,25,31,08A,1162006,1890618,2023,09/14/2023 03:41:59 PM,41.855522867,-87.680843862,"(41.855522867, -87.680843862)"
13202118,JG414083,09/06/2023 06:18:00 PM,057XX S ABERDEEN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0712,007,16,68,15,1169961,1866800,2023,09/14/2023 03:43:09 PM,41.789994324,-87.652338285,"(41.789994324, -87.652338285)"
13201961,JG414119,09/06/2023 05:30:00 PM,078XX S LAFLIN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0612,006,17,71,07,1167473,1852841,2023,09/14/2023 03:43:09 PM,41.751742742,-87.661860682,"(41.751742742, -87.661860682)"
13208353,JG421608,08/28/2023 07:30:00 PM,009XX W WASHINGTON BLVD,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,1224,012,34,28,06,1170224,1900729,2023,09/14/2023 03:41:59 PM,41.883092889,-87.650384784,"(41.883092889, -87.650384784)"
13202210,JG414227,09/06/2023 09:00:00 PM,041XX N FRANCISCO AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1724,017,33,16,08A,1156307,1927409,2023,09/14/2023 03:43:09 PM,41.95659747,-87.700766117,"(41.95659747, -87.700766117)"
13201208,JG413019,09/06/2023 03:34:00 AM,050XX S KNOX AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,0815,008,14,56,04A,1146210,1870856,2023,09/14/2023 03:43:09 PM,41.801607877,-87.739324672,"(41.801607877, -87.739324672)"
13201241,JG413055,09/06/2023 05:40:00 AM,039XX W ALTGELD ST,0820,THEFT,$500 AND UNDER,STREET,false,false,2524,025,35,22,06,1149832,1916338,2023,09/14/2023 03:43:09 PM,41.926346433,-87.724859021,"(41.926346433, -87.724859021)"
13203776,JG415874,09/06/2023 07:00:00 PM,026XX N NARRAGANSETT AVE,0460,BATTERY,SIMPLE,DEPARTMENT STORE,false,false,2512,025,36,19,08B,1133297,1916857,2023,09/14/2023 03:43:09 PM,41.928076536,-87.785606186,"(41.928076536, -87.785606186)"
13201706,JG413540,09/06/2023 01:19:00 PM,117XX S CALUMET AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,false,false,0532,005,9,53,07,1180561,1827176,2023,09/14/2023 03:43:09 PM,41.681024396,-87.614684538,"(41.681024396, -87.614684538)"
13207913,JG420885,09/02/2023 02:00:00 AM,003XX W ILLINOIS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1831,018,42,8,11,1174082,1903553,2023,09/14/2023 03:41:59 PM,41.890756989,-87.636133879,"(41.890756989, -87.636133879)"
13203257,JG414222,09/06/2023 09:33:00 PM,082XX S SANGAMON ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,false,false,0613,006,17,71,26,1171413,1850152,2023,09/14/2023 03:43:09 PM,41.744278483,-87.647500963,"(41.744278483, -87.647500963)"
13202285,JG414290,09/06/2023 10:09:00 PM,006XX E 75TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,true,false,0323,003,6,69,24,1181781,1855423,2023,09/14/2023 03:43:09 PM,41.758509638,-87.609349222,"(41.758509638, -87.609349222)"
13202105,JG413957,09/06/2023 05:15:00 PM,017XX N LA SALLE DR,0460,BATTERY,SIMPLE,STREET,false,false,1814,018,43,7,08B,1174812,1911705,2023,09/14/2023 03:43:09 PM,41.913110178,-87.633208656,"(41.913110178, -87.633208656)"
13201412,JG413133,09/06/2023 07:30:00 AM,098XX S YATES AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,false,true,0431,004,7,51,04B,1194119,1840244,2023,09/14/2023 03:43:09 PM,41.716563317,-87.564629081,"(41.716563317, -87.564629081)"
13202353,JG412941,09/06/2023 12:21:00 AM,035XX W FLOURNOY ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,1133,011,24,27,08A,1152924,1896804,2023,09/14/2023 03:43:09 PM,41.872682495,-87.714015459,"(41.872682495, -87.714015459)"
